sample,elapsed_ms,status_code,success,timestamp,label,thread_group
1,2680,200,true,2026-05-28T20:46:40.783Z,GET /api/health,50_usuarios_simulados
2,2699,200,true,2026-05-28T20:46:40.870Z,GET /api/health,50_usuarios_simulados
3,2611,200,true,2026-05-28T20:46:40.784Z,GET /api/health,50_usuarios_simulados
4,2629,200,true,2026-05-28T20:46:40.804Z,GET /api/health,50_usuarios_simulados
5,2648,200,true,2026-05-28T20:46:40.825Z,GET /api/health,50_usuarios_simulados
6,2652,200,true,2026-05-28T20:46:40.830Z,GET /api/health,50_usuarios_simulados
7,2622,200,true,2026-05-28T20:46:40.800Z,GET /api/health,50_usuarios_simulados
8,2650,200,true,2026-05-28T20:46:40.829Z,GET /api/health,50_usuarios_simulados
9,2686,200,true,2026-05-28T20:46:40.866Z,GET /api/health,50_usuarios_simulados
10,2687,200,true,2026-05-28T20:46:40.869Z,GET /api/health,50_usuarios_simulados
11,2632,200,true,2026-05-28T20:46:40.815Z,GET /api/health,50_usuarios_simulados
12,2616,200,true,2026-05-28T20:46:40.799Z,GET /api/health,50_usuarios_simulados
13,2632,200,true,2026-05-28T20:46:40.816Z,GET /api/health,50_usuarios_simulados
14,2643,200,true,2026-05-28T20:46:40.827Z,GET /api/health,50_usuarios_simulados
15,2628,200,true,2026-05-28T20:46:40.813Z,GET /api/health,50_usuarios_simulados
16,2628,200,true,2026-05-28T20:46:40.813Z,GET /api/health,50_usuarios_simulados
17,2624,200,true,2026-05-28T20:46:40.810Z,GET /api/health,50_usuarios_simulados
18,2609,200,true,2026-05-28T20:46:40.796Z,GET /api/health,50_usuarios_simulados
19,2603,200,true,2026-05-28T20:46:40.790Z,GET /api/health,50_usuarios_simulados
20,2643,200,true,2026-05-28T20:46:40.831Z,GET /api/health,50_usuarios_simulados
21,2612,200,true,2026-05-28T20:46:40.800Z,GET /api/health,50_usuarios_simulados
22,2683,200,true,2026-05-28T20:46:40.872Z,GET /api/health,50_usuarios_simulados
23,2684,200,true,2026-05-28T20:46:40.874Z,GET /api/health,50_usuarios_simulados
24,2613,200,true,2026-05-28T20:46:40.803Z,GET /api/health,50_usuarios_simulados
25,2614,200,true,2026-05-28T20:46:40.807Z,GET /api/health,50_usuarios_simulados
26,2617,200,true,2026-05-28T20:46:40.811Z,GET /api/health,50_usuarios_simulados
27,2674,200,true,2026-05-28T20:46:40.868Z,GET /api/health,50_usuarios_simulados
28,2601,200,true,2026-05-28T20:46:40.796Z,GET /api/health,50_usuarios_simulados
29,2603,200,true,2026-05-28T20:46:40.798Z,GET /api/health,50_usuarios_simulados
30,2605,200,true,2026-05-28T20:46:40.801Z,GET /api/health,50_usuarios_simulados
31,2598,200,true,2026-05-28T20:46:40.794Z,GET /api/health,50_usuarios_simulados
32,2634,200,true,2026-05-28T20:46:40.831Z,GET /api/health,50_usuarios_simulados
33,2587,200,true,2026-05-28T20:46:40.785Z,GET /api/health,50_usuarios_simulados
34,2569,200,true,2026-05-28T20:46:40.767Z,GET /api/health,50_usuarios_simulados
35,2593,200,true,2026-05-28T20:46:40.792Z,GET /api/health,50_usuarios_simulados
36,2587,200,true,2026-05-28T20:46:40.787Z,GET /api/health,50_usuarios_simulados
37,2614,200,true,2026-05-28T20:46:40.814Z,GET /api/health,50_usuarios_simulados
38,2587,200,true,2026-05-28T20:46:40.788Z,GET /api/health,50_usuarios_simulados
39,2625,200,true,2026-05-28T20:46:40.826Z,GET /api/health,50_usuarios_simulados
40,2600,200,true,2026-05-28T20:46:40.802Z,GET /api/health,50_usuarios_simulados
41,2606,200,true,2026-05-28T20:46:40.809Z,GET /api/health,50_usuarios_simulados
42,2597,200,true,2026-05-28T20:46:40.801Z,GET /api/health,50_usuarios_simulados
43,2591,200,true,2026-05-28T20:46:40.795Z,GET /api/health,50_usuarios_simulados
44,2584,200,true,2026-05-28T20:46:40.789Z,GET /api/health,50_usuarios_simulados
45,2606,200,true,2026-05-28T20:46:40.812Z,GET /api/health,50_usuarios_simulados
46,2602,200,true,2026-05-28T20:46:40.808Z,GET /api/health,50_usuarios_simulados
47,2608,200,true,2026-05-28T20:46:40.815Z,GET /api/health,50_usuarios_simulados
48,2663,200,true,2026-05-28T20:46:40.871Z,GET /api/health,50_usuarios_simulados
49,2607,200,true,2026-05-28T20:46:40.816Z,GET /api/health,50_usuarios_simulados
50,2601,200,true,2026-05-28T20:46:40.811Z,GET /api/health,50_usuarios_simulados
51,223,200,true,2026-05-28T20:46:41.100Z,GET /api/health,50_usuarios_simulados
52,213,200,true,2026-05-28T20:46:41.091Z,GET /api/health,50_usuarios_simulados
53,198,200,true,2026-05-28T20:46:41.077Z,GET /api/health,50_usuarios_simulados
